transaction_id,customer_id,customer_name,transaction_date,amount_usd,product
TXN1218,CUST1601,Renee Alexander,2025-01-29,228.23,USB-C Cable
TXN1219,CUST0384,Katherine Williams,2025-03-17,836.76,USB-C Cable
TXN1220,CUST0782,Rebecca Martin,2025-04-04,21.69,Bluetooth Speaker
TXN1221,CUST0751,Lisa Smith,2025-02-25,361.92,Smartwatch
TXN1222,CUST1792,Mike Bush,2025-01-20,219.05,Mechanical Keyboard
TXN1223,CUST1157,Karen Kim,2025-02-11,222.91,Portable SSD
TXN1224,CUST0803,Rachel Walker,2025-04-23,364.45,Mouse Pad
TXN1225,CUST0537,Miss Tiffany Torres MD,2025-04-07,980.05,Tablet
TXN1226,CUST1292,Christopher Bennett,2025-03-14,215.64,Webcam
TXN1227,CUST1912,Danielle Lopez,2025-02-07,877.47,Webcam
TXN1228,CUST0426,Mrs. Audrey Moody,2025-01-17,638.96,Noise Cancelling Headphones
TXN1229,CUST1015,Dana Robertson,2025-04-12,278.08,Portable SSD
TXN1230,CUST0287,David Mclean,2025-04-01,521.12,Webcam
TXN1231,CUST1826,Victoria Harris,2025-03-01,948.84,Wireless Charger
TXN1232,CUST1111,Derek Wilson,2025-01-03,258.87,Webcam
TXN1233,CUST0289,Antonio Jones,2025-02-22,80.63,USB-C Cable
TXN1234,CUST0968,Tracy Zimmerman,2025-03-12,363.13,Bluetooth Speaker
TXN1235,CUST1010,Sarah Martinez,2025-04-28,312.35,Desk Lamp
TXN1236,CUST1052,Lindsay Silva,2025-01-06,838.72,Mechanical Keyboard
TXN1237,CUST1534,John Martin,2025-01-23,435.28,Laptop Stand
TXN1238,CUST1324,Elizabeth Maddox,2025-04-26,745.82,Webcam
TXN1239,CUST1567,Gabriella Thompson,2025-01-10,481.05,Bluetooth Speaker
TXN1240,CUST0055,Jason Williams,2025-04-09,152.79,Smartwatch
TXN1241,CUST0992,Laurie Hicks DDS,2025-02-18,190.14,USB-C Cable
TXN1242,CUST0783,Aaron Cobb IV,2025-02-05,702.56,Tablet
TXN1243,CUST0781,Robert Jones,2025-04-16,689.93,Smartphone
TXN1244,CUST1117,Jean Rodriguez,2025-03-23,89.02,Smartwatch
TXN1245,CUST1769,Caitlin Martinez,2025-01-11,31.41,Wireless Charger
TXN1246,CUST0273,Ryan Henderson,2025-02-06,106.01,Smartwatch
TXN1247,CUST0137,Trevor Smith,2025-03-14,628.8,Noise Cancelling Headphones
TXN1248,CUST0747,Robert Palmer,2025-03-05,426.16,Bluetooth Speaker
TXN1249,CUST1378,Ray Clark,2025-01-09,554.19,Bluetooth Speaker
TXN1250,CUST1101,Mary Roberts,2025-04-16,944.64,Laptop Backpack
TXN1251,CUST0522,Carl Berry,2025-02-24,797.45,USB-C Cable
TXN1252,CUST1526,Corey Russell,2025-01-01,999.16,Mechanical Keyboard
TXN1253,CUST1655,Robert Wright,2025-04-09,789.96,Webcam
TXN1254,CUST0631,Sara Bird,2025-03-29,619.69,Wireless Charger
TXN1255,CUST1475,Thomas Alexander,2025-02-08,220.87,Mechanical Keyboard
TXN1256,CUST1111,Neil Andrade,2025-02-18,934.85,Noise Cancelling Headphones
TXN1257,CUST1526,Amy Stephens,2025-03-19,316.51,Noise Cancelling Headphones
TXN1258,CUST0199,Tracy Davidson,2025-03-18,840.49,Bluetooth Speaker
TXN1259,CUST1299,Nicholas Kramer,2025-04-15,596.54,USB-C Cable
TXN1260,CUST1305,Dominic Castillo,2025-01-06,442.97,USB-C Cable
TXN1261,CUST1207,Karen Stanley,2025-01-12,247.28,Mouse Pad
TXN1262,CUST1822,William Ruiz,2025-02-16,199.74,Laptop Backpack
TXN1263,CUST1737,Amber Foster,2025-01-13,189.4,Wireless Charger
TXN1264,CUST0759,Beth Wilcox,2025-03-24,623.22,Mechanical Keyboard
TXN1265,CUST1097,Raven Craig,2025-03-13,506.97,Laptop Stand
TXN1266,CUST1112,Benjamin Johnson,2025-01-05,421.34,Laptop Backpack
TXN1267,CUST1410,Sherri Myers,2025-01-23,711.47,Desk Lamp
TXN1268,CUST0334,Jody Webb,2025-01-26,817.55,Laptop Backpack
TXN1269,CUST0358,Lynn Price,2025-03-23,669.2,Desk Lamp
TXN1270,CUST0282,Joanna Glover,2025-01-19,593.08,Mechanical Keyboard
TXN1271,CUST1674,Ryan Holmes,2025-01-20,197.87,Laptop Stand
TXN1272,CUST0226,Andre Solis,2025-03-31,977.6,Tablet
TXN1273,CUST1186,Christina Wells,2025-03-28,427.7,Desk Lamp
TXN1274,CUST0197,Ricardo Williams,2025-01-08,113.07,Tablet
TXN1275,CUST1527,William Nguyen,2025-04-15,751.58,USB-C Cable
TXN1276,CUST0371,Kenneth Reese,2025-03-20,987.96,Mechanical Keyboard
TXN1277,CUST0098,Hayley Garza,2025-01-16,164.97,USB-C Cable
TXN1278,CUST1661,Sara Watkins,2025-04-24,740.45,Wireless Mouse
TXN1279,CUST1855,Donna Valdez,2025-02-19,736.51,Noise Cancelling Headphones
TXN1280,CUST1452,David Wright,2025-04-13,535.93,Tablet
TXN1281,CUST0045,Darrell French,2025-03-06,796.61,Desk Lamp
TXN1282,CUST0106,Jennifer West,2025-01-24,707.95,Mouse Pad
TXN1283,CUST0955,Tanya Young,2025-02-15,521.41,Laptop Stand
TXN1284,CUST1190,Ronald Castaneda,2025-01-18,446.0,Smartphone
TXN1285,CUST1637,Gina Potter DDS,2025-03-06,257.51,Tablet
TXN1286,CUST0120,Kimberly Brown,2025-03-23,117.72,Webcam
TXN1287,CUST0651,Tyler Thomas,2025-02-03,285.02,Smartphone
TXN1288,CUST1033,David Schwartz,2025-01-30,952.92,Bluetooth Speaker
TXN1289,CUST1320,Jean James,2025-02-24,59.97,Mouse Pad
TXN1290,CUST1229,Zachary Martin,2025-04-23,959.33,Desk Lamp
TXN1291,CUST0105,Donald Jackson,2025-03-28,897.74,USB-C Cable
TXN1292,CUST1643,Marcus Johnson,2025-04-17,992.78,Mouse Pad
TXN1293,CUST0292,Andrea Frazier,2025-03-19,983.79,Wireless Charger
TXN1294,CUST1859,Joseph Watson,2025-03-18,70.36,Wireless Mouse
TXN1295,CUST1504,Michael Singleton,2025-02-06,649.56,Webcam
TXN1296,CUST0282,Monica King,2025-01-01,248.5,Laptop Backpack
TXN1297,CUST0183,Steve Horton,2025-04-26,226.08,Webcam
TXN1298,CUST0089,Jillian Dawson,2025-01-06,563.16,Desk Lamp
TXN1299,CUST1985,Ryan Ferguson,2025-02-28,882.87,Noise Cancelling Headphones
TXN1300,CUST1427,Christina Robinson,2025-04-20,36.32,Laptop Backpack
TXN1301,CUST1201,Amber Burch,2025-01-25,412.75,USB-C Cable
TXN1302,CUST1858,Gina Lopez,2025-03-24,355.55,Wireless Charger
TXN1303,CUST1313,Katherine Farley,2025-04-26,527.78,Desk Lamp
TXN1304,CUST0204,Brittany Rangel,2025-02-19,127.08,Webcam
TXN1305,CUST1648,Mathew Hubbard,2025-02-02,958.5,Laptop Stand
TXN1306,CUST0340,Gabriel Robinson,2025-03-12,278.01,Wireless Charger
TXN1307,CUST1411,Jennifer Little,2025-01-22,139.09,Webcam
TXN1308,CUST1156,James Lewis,2025-03-06,895.45,Smartwatch
TXN1309,CUST1651,Christina Perez,2025-02-08,774.06,Noise Cancelling Headphones
TXN1310,CUST1437,Ashley Crawford,2025-04-08,137.03,Mouse Pad
TXN1311,CUST1748,Richard Hood,2025-04-01,245.88,Wireless Charger
TXN1312,CUST0469,Tiffany Sparks,2025-01-08,688.06,Tablet
TXN1313,CUST0203,Tiffany Garcia,2025-03-26,929.25,Desk Lamp
TXN1314,CUST0518,Michael Hardy,2025-03-25,764.7,Desk Lamp
TXN1315,CUST1404,James Henderson DVM,2025-03-05,372.08,Mouse Pad
TXN1316,CUST1099,Christopher Lopez,2025-03-23,900.09,USB-C Cable
TXN1317,CUST0536,Traci Douglas,2025-03-01,391.55,Bluetooth Speaker
TXN1318,CUST1542,Tiffany Jones,2025-04-02,335.04,Wireless Charger
TXN1319,CUST1974,Michael Acosta,2025-04-15,440.61,Desk Lamp
TXN1320,CUST1391,Eric Martinez,2025-01-25,875.02,Noise Cancelling Headphones
TXN1321,CUST0589,Rebecca Williams,2025-02-27,183.96,Noise Cancelling Headphones
TXN1322,CUST1651,Caitlin Gilbert,2025-03-24,996.61,Laptop Stand
TXN1323,CUST0847,Danielle Page,2025-01-05,334.08,Laptop Stand
TXN1324,CUST0213,David Deleon,2025-03-19,404.49,Laptop Stand
TXN1325,CUST1860,Kimberly Watts,2025-03-17,662.66,Noise Cancelling Headphones
TXN1326,CUST1133,Dave Hutchinson,2025-03-23,374.21,Noise Cancelling Headphones
TXN1327,CUST1184,Erica Hunter,2025-01-17,203.09,Mechanical Keyboard
TXN1328,CUST1691,Erica Martin,2025-04-02,552.96,Smartphone
TXN1329,CUST0928,Daniel Ortiz,2025-03-06,561.96,Wireless Charger
TXN1330,CUST0305,Eric Gilbert,2025-01-09,377.9,Wireless Charger
TXN1331,CUST0728,Jack Young,2025-03-17,333.71,Laptop Backpack
TXN1332,CUST0491,Andrea Sparks,2025-01-26,104.46,Smartwatch
TXN1333,CUST0288,Shannon Carter,2025-01-01,462.98,Wireless Mouse
TXN1334,CUST0486,Jasmine Mcgrath,2025-01-31,516.14,Tablet
TXN1335,CUST1946,Rebecca Hayden,2025-04-01,542.08,Laptop Backpack
TXN1336,CUST0388,Cynthia Howell,2025-01-24,900.06,Smartwatch
TXN1337,CUST1668,Emma Goodwin,2025-01-17,947.49,Wireless Charger
TXN1338,CUST0335,Julia Thomas,2025-02-04,358.7,Mechanical Keyboard
TXN1339,CUST1588,Michael Lowery,2025-04-28,669.94,Laptop Stand
TXN1340,CUST0574,Leah Rice,2025-04-30,20.77,Mechanical Keyboard
TXN1341,CUST1462,James Curtis,2025-01-02,794.89,Wireless Charger
TXN1342,CUST0443,Kimberly Henson,2025-04-11,265.11,USB-C Cable
TXN1343,CUST0795,Joshua Baldwin,2025-01-17,496.0,Desk Lamp
TXN1344,CUST0397,Juan Montgomery,2025-04-16,971.2,Smartphone
TXN1345,CUST1044,Kaylee Buck,2025-02-06,366.88,Laptop Stand
TXN1346,CUST1251,Maria Thornton,2025-04-25,687.4,USB-C Cable
TXN1347,CUST1403,Kelsey Ray,2025-01-02,684.37,Mouse Pad
TXN1348,CUST1393,Christina Arias,2025-01-21,589.09,Laptop Backpack
TXN1349,CUST1073,Christina Deleon,2025-03-19,114.18,Laptop Backpack
TXN1350,CUST1184,Sarah Smith,2025-04-05,422.08,Smartphone
TXN1351,CUST0618,Chelsea Jordan,2025-01-12,542.48,Desk Lamp
